StationId,PositionName,Area,UniqueCode,StationCode,StationPic,Longitude,Latitude,StationTypeId
4112,万寿西宫,北京市,110000252,1001A,,116.366,39.8673,1
4113,定陵(对照点),北京市,110000041,1002A,,116.17,40.2865,1
4114,东四,北京市,110000244,1003A,,116.434,39.9522,1
4115,天坛,北京市,110000245,1004A,,116.434,39.8745,1
4116,农展馆,北京市,110000247,1005A,,116.473,39.9716,1
4117,顺义新城,北京市,110000253,1008A,,116.72,40.1438,1
4118,怀柔镇,北京市,110000254,1009A,,116.644,40.3937,1
4119,昌平镇,北京市,110000255,1010A,,116.23,40.1952,1
4120,古城,北京市,110000249,1012A,,116.225,39.9279,1
4121,市监测中心(停运150702),天津市,120000051,1013A,,117.151,39.097,1
4122,南口路(停运161122),天津市,120000081,1014A,,117.193,39.173,1
4123,勤俭道,天津市,120000062,1015A,,117.145,39.1654,1
4124,南京路(停运160601),天津市,120000072,1016A,,117.184,39.1205,1
4125,大直沽八号路,天津市,120000095,1017A,,117.237,39.1082,1
4126,淮河道,天津市,120000186,1019A,,117.1837,39.2133,1
4127,天山路(停运150702),天津市,120000100,1020A,,117.269,39.1337,1
4128,跃进路,天津市,120000168,1021A,,117.307,39.0877,1
4129,梅江小区(停运150702),天津市,120000108,1022A,,117.221,39.06,1
4130,第四大街,天津市,120000143,1023A,,117.707,39.0343,1
4135,航天路(停运170426),天津市,120000301,1025A,,117.401,39.124,1
4131,团泊洼(对照点),天津市,120000005,1027A,,117.157,38.9194,1
4132,化工学校(停运150703),石家庄市,130100051,1028A,,114.5637,38.0549,1
4133,职工医院,石家庄市,130100052,1029A,,114.4548,38.0513,1
4134,高新区,石家庄市,130100054,1030A,,114.6046,38.0398,1
4136,西南高教,石家庄市,130100056,1032A,,114.4586,38.0058,1
4137,世纪公园,石家庄市,130100057,1033A,,114.5331,38.0178,1
4138,封龙山(对照点),石家庄市,130100001,1035A,defaultStation.jpg,114.3541,37.9097,1
4139,供销社(停运200110),唐山市,130200100,1036A,,118.1662,39.6308,1
4068,物资局,唐山市,130200053,1038A,,118.1853,39.6407,1
4069,陶瓷公司(停运200109),唐山市,130200051,1039A,,118.2185,39.6679,1
4070,十二中,唐山市,130200054,1040A,,118.1838,39.65782,1
4071,小山,唐山市,130200052,1041A,,118.1997,39.6295,1
4147,第一关,秦皇岛市,130300056,1043A,,119.7624,40.0181,1
4148,监测站,秦皇岛市,130300053,1044A,,119.6023,39.9567,1
4149,市政府(停运171013),秦皇岛市,130300055,1045A,,119.607,39.9358,1
4150,建设大厦,秦皇岛市,130300058,1046A,,119.5369,39.9419,1
4151,环保局(停运210416),邯郸市,130400051,1047A,defaultStation.jpg,114.5129,36.61763,1
4152,东污水处理厂,邯郸市,130400052,1048A,,114.5426,36.6164,1
4140,丛台公园,邯郸市,130400054,1050A,,114.4965,36.61981,1
4141,游泳馆,保定市,130600064,1051A,,115.493,38.8632,1
4153,接待中心,保定市,130600062,1053A,,115.4713,38.9108,1
4154,地表水厂,保定市,130600061,1054A,,115.4612,38.8416,1
4155,胶片厂,保定市,130600051,1055A,,115.442,38.8756,1
4156,监测站,保定市,130600060,1056A,,115.5214,38.8707,1
4157,探机厂(停运171012),张家口市,130700402,1058A,,114.892,40.79481,1
4158,五金库,张家口市,130700403,1059A,,114.8814,40.8115,1
4159,世纪豪园,张家口市,130700407,1060A,,114.9032,40.7688,1
4160,北泵房(对照点),张家口市,130700001,1061A,,114.904,40.8725,1
4161,中国银行,承德市,130800402,1063A,,117.9525,40.9843,1
4162,开发区,承德市,130800407,1064A,,117.963,40.9359,1
4163,文化中心,承德市,130800409,1065A,,117.8184,40.9733,1
4164,离宫(对照点),承德市,130800001,1066A,,117.9384,41.0112,1
4165,药材公司,廊坊市,131000402,1067A,,116.6838,39.5178,1
4166,环境监测监理中心(停运160601),廊坊市,131000407,1069A,,116.715,39.5571,1
4167,北华航天学院,廊坊市,131000408,1070A,,116.7464,39.5343,1
4168,沧县城建局,沧州市,130900402,1071A,,116.8854,38.2991,1
4169,市环保局,沧州市,130900401,1073A,,116.8709,38.3228,1
4170,电机北厂,衡水市,131100401,1074A,,115.6951,37.7575,1
4171,市监测站,衡水市,131100402,1075A,,115.6426,37.7379,1
4172,邢师高专,邢台市,130500401,1078A,,114.5261,37.0533,1
4173,路桥公司,邢台市,130500406,1079A,,114.5331,37.0964,1
4174,市环保局,邢台市,130500405,1080A,,114.4854,37.062,1
4175,尖草坪,太原市,140100053,1081A,,112.522,37.8873,1
4176,涧河(已停用),太原市,140100052,1082A,,112.573,37.9103,1
4177,上兰(对照点),太原市,140100001,1083A,,112.434,38.0108,1
4178,晋源,太原市,140100063,1084A,,112.469,37.7124,1
4179,小店,太原市,140100062,1085A,,112.5583,37.7394,1
4180,桃园,太原市,140100057,1086A,,112.5369,37.8692,1
4181,坞城,太原市,140100059,1087A,,112.57,37.8195,1
4458,呼市一监,呼和浩特市,150100056,1090A,,111.651,40.7579,1
4459,小召,呼和浩特市,150100051,1091A,,111.658,40.8033,1
4460,兴松小区(停运200113),呼和浩特市,150100052,1092A,,111.659,40.8452,1
4461,糖厂(停运200113),呼和浩特市,150100053,1093A,,111.608,40.8144,1
4439,二十九中,呼和浩特市,150100055,1095A,,111.7277,40.8062,1
4462,化肥厂生活区,呼和浩特市,150100058,1097A,,111.717,40.7612,1
4463,森林路(对照点),沈阳市,210100003,1098A,,123.6836,41.9339,1
4464,浑南东路,沈阳市,210100104,1099A,,123.535,41.7561,1
4465,新秀街,沈阳市,210100102,1100A,,123.439,41.7089,1
4466,沧海路（已停运）,沈阳市,210100101,1101A,,123.284,41.7694,1
4475,陵东街,沈阳市,21010099,1103A,,123.428,41.8472,1
4476,文化路,沈阳市,21010098,1104A,,123.41,41.765,1
4477,小河沿,沈阳市,21010097,1105A,,123.478,41.7775,1
